"Date","Semester_day","Semester","New_Tests","New_Cases","positivity","Week_avg_pos","Total_tests","Total_cases","Sem_totals","Tweet","avgnewcases","avgnewtests"
2020-07-06,NA,NA,99,0,0,NA,99,NA,NA,NA,NA,NA
2020-07-07,NA,NA,236,0,0,NA,335,0,NA,NA,NA,NA
2020-07-08,NA,NA,598,2,0.00334448160535117,NA,933,2,NA,NA,NA,NA
2020-07-09,NA,NA,719,1,0.00139082058414465,NA,1652,3,NA,NA,NA,NA
2020-07-10,NA,NA,730,5,0.00684931506849315,NA,2382,8,NA,NA,NA,NA
2020-07-13,NA,NA,669,2,0.00298953662182362,NA,3051,10,NA,NA,NA,NA
2020-07-14,NA,NA,628,2,0.00318471337579618,0.00326175591193259,3679,12,NA,NA,1.71428571428571,525.571428571429
2020-07-15,NA,NA,538,6,0.0111524163568773,0.00437105390966489,4217,18,NA,NA,2.57142857142857,588.285714285714
2020-07-16,NA,NA,617,7,0.0113452188006483,0.00555679039786619,4834,25,NA,NA,3.57142857142857,642.714285714286
2020-07-17,NA,NA,725,3,0.00413793103448276,0.00562040639861652,5559,28,NA,NA,3.71428571428571,660.857142857143
2020-07-20,NA,NA,840,3,0.00357142857142857,0.0058984621866442,6399,31,NA,NA,4,678.142857142857
2020-07-21,NA,NA,507,3,0.00591715976331361,0.00574712643678161,6906,34,NA,NA,3.71428571428571,646.285714285714
2020-07-22,NA,NA,632,3,0.00474683544303797,0.00601738355248496,7538,37,NA,NA,3.85714285714286,641
2020-07-23,NA,NA,752,6,0.00797872340425532,0.00672305356755584,8290,43,NA,NA,4.42857142857143,658.714285714286
2020-07-24,NA,NA,838,3,0.0035799522673031,0.00570148645896966,9128,46,NA,NA,4,701.571428571429
2020-07-27,NA,NA,835,4,0.00479041916167665,0.00487424449210372,9963,50,NA,NA,3.57142857142857,732.714285714286
2020-07-28,NA,NA,741,2,0.00269905533063428,0.00466472303206997,10704,52,NA,NA,3.42857142857143,735
2020-07-29,NA,NA,745,0,0,0.00415841584158416,11449,52,NA,NA,3,721.428571428571
2020-07-30,NA,NA,736,4,0.00543478260869565,0.00416745595756772,12185,56,NA,NA,3.14285714285714,754.142857142857
2020-07-31,NA,NA,1058,1,0.000945179584120983,0.0035056967572305,13243,57,NA,NA,2.85714285714286,815
2020-08-03,NA,NA,1896,1,0.000527426160337553,0.00219010074463425,15139,58,NA,NA,2.14285714285714,978.428571428571
2020-08-04,NA,NA,1759,3,0.00170551449687322,0.00193050193050193,16898,61,NA,NA,2.14285714285714,1110
2020-08-05,-14,"Fall",1405,5,0.00355871886120996,0.00191846522781775,18303,66,0,NA,2.28571428571429,1191.42857142857
2020-08-06,-13,"Fall",1823,5,0.00274273176083379,0.00201655699426873,20126,71,5,NA,2.71428571428571,1346
2020-08-07,-12,"Fall",2509,6,0.00239139099242726,0.00223493652780261,22635,77,11,NA,3.57142857142857,1598
2020-08-10,-11,"Fall",4110,2,0.00048661800486618,0.00157967032967033,26745,79,13,NA,3.28571428571429,2080
2020-08-11,-10,"Fall",3610,4,0.00110803324099723,0.00151940158952782,30355,83,17,NA,3.71428571428571,2444.57142857143
2020-08-12,-9,"Fall",2438,4,0.00164068908941756,0.00164268720969752,32793,87,21,NA,4.14285714285714,2522
2020-08-15,-8,"Fall",1636,6,0.00366748166259169,0.00182533797273401,34429,93,27,NA,4.57142857142857,2504.42857142857
2020-08-16,-7,"Fall",2453,7,0.00285364859355891,0.00183002314441036,36882,100,34,NA,4.85714285714286,2654.14285714286
2020-08-17,-6,"Fall",9064,24,0.00264783759929391,0.00205267234701782,45946,124,58,NA,7.57142857142857,3688.57142857143
2020-08-18,-5,"Fall",6162,20,0.00324569944823109,0.00227326705798527,52108,144,78,NA,9.57142857142857,4210.42857142857
