"date","Percent Receiving First Dose","first_dose","new_dose1","avg_daily_first_dose","pct_dose1","second_dose","new_dose2","avg_daily_second_dose","pct_dose2"
2020-12-16,"Actual",8,8,NA,3.80983222451341e-05,NA,NA,NA,NA
2020-12-17,"Actual",191,183,NA,0.000909597443602577,NA,NA,NA,NA
2020-12-18,"Actual",477,286,NA,0.00227161246386612,NA,NA,NA,NA
2020-12-19,"Actual",480,3,NA,0.00228589933470805,NA,NA,NA,NA
2020-12-20,"Actual",481,1,NA,0.00229066162498869,NA,NA,NA,NA
2020-12-21,"Actual",482,1,NA,0.00229542391526933,NA,NA,NA,NA
2020-12-22,"Actual",510,28,72.8571428571429,0.0024287680431273,NA,NA,NA,NA
2020-12-23,"Actual",1009,499,143,0.00480515089316754,NA,NA,NA,NA
2020-12-24,"Actual",1388,379,171,0.00661005890953077,NA,NA,NA,NA
2020-12-25,"Actual",1683,295,172.285714285714,0.00801493454232009,NA,NA,NA,NA
2020-12-26,"Actual",1856,173,196.571428571429,0.00883881076087112,NA,NA,NA,NA
2020-12-27,"Actual",1857,1,196.571428571429,0.00884357305115176,NA,NA,NA,NA
2020-12-28,"Actual",2045,188,223.285714285714,0.00973888362391241,NA,NA,NA,NA
2020-12-29,"Actual",2201,156,241.571428571429,0.0104818009076925,NA,NA,NA,NA
2020-12-30,"Actual",2800,599,255.857142857143,0.0133344127857969,NA,NA,NA,NA
2020-12-31,"Actual",3239,439,264.428571428571,0.0154250582189987,NA,NA,NA,NA
2021-01-01,"Actual",3545,306,266,0.0168823190448751,NA,NA,NA,NA
2021-01-02,"Actual",3933,388,296.714285714286,0.0187300876737641,NA,NA,NA,NA
2021-01-03,"Actual",4317,384,351.428571428571,0.0205588071415305,NA,NA,NA,NA
2021-01-04,"Actual",4880,563,405,0.0232399765695318,NA,NA,NA,NA
2021-01-05,"Actual",5389,509,455.428571428571,0.0256639823223785,NA,NA,NA,NA
2021-01-06,"Actual",5724,844,490.428571428571,0.0272593495663935,NA,NA,NA,NA
2021-01-07,"Actual",6026,302,470.857142857143,0.0286975612311473,NA,NA,NA,NA
2021-01-08,"Actual",6290,264,464.857142857143,0.0299548058652367,222,222,NA,0.00105722844230247
2021-01-09,"Actual",6464,174,434.285714285714,0.0307834443740684,480,258,NA,0.00228589933470805
2021-01-10,"Actual",6743,279,419.285714285714,0.0321121233623674,483,3,NA,0.00230018620554997
2021-01-11,"Actual",6828,85,351,0.032516918036222,499,16,NA,0.00237638285004024
2021-01-12,"Actual",7694,866,402,0.0366410614192577,525,26,NA,0.00250020239733693
2021-01-13,"Actual",8735,1041,430.142857142857,0.0415986056014058,923,398,NA,0.00439559392903235
2021-01-14,"Actual",9742,1007,530.857142857143,0.0463942319140121,1382,459,NA,0.00658148516784692
2021-01-15,"Actual",10191,449,557.285714285714,0.0485325002500202,1817,435,NA,0.00865308143992609
2021-01-16,"Actual",10303,112,548.428571428571,0.0490658767614521,2018,201,NA,0.00961030178633508
2021-01-17,"Actual",10385,82,520.285714285714,0.0494563845644647,2025,7,NA,0.00964363781829958
2021-01-18,"Actual",10666,281,548.285714285714,0.0507945881333251,2031,6,NA,0.00967221155998343
2021-01-19,"Actual",12070,1404,625.142857142857,0.0574808436873461,2037,6,NA,0.00970078530166728
2021-01-20,"Actual",13415,1345,668.571428571429,0.0638861241148093,2177,140,NA,0.0103675059409571
2021-01-21,"Actual",14693,1278,707.285714285714,0.0699723310934695,2202,25,NA,0.0104865631979732
2021-01-22,"Actual",16018,1325,832.428571428571,0.0762823657153198,2330,128,NA,0.0110961363538953
2021-01-23,"Actual",16337,319,862,0.0778015363148445,2334,4,NA,0.0111151855150179
2021-01-24,"Actual",16354,17,852.714285714286,0.0778824952496154,2334,0,NA,0.0111151855150179
2021-01-25,"Actual",16493,139,832.428571428571,0.0785444535986247,2354,20,NA,0.0112104313206307
2021-01-26,"Actual",18615,2122,935,0.0886500335741465,2520,166,NA,0.0120009715072173
2021-01-27,"Actual",20612,1997,1028.14285714286,0.0981603272645881,3009,489,NA,0.0143297314544511
2021-01-28,"Actual",22660,2048,1138.14285714286,0.107913497759342,3475,466,NA,0.0165489587252301
2021-01-29,"Actual",23517,857,1071.28571428571,0.111994780529852,3895,420,NA,0.0185491206430997
2021-01-30,"Actual",23989,472,1093.14285714286,0.114242581542315,4356,461,NA,0.0207445364624755
2021-01-31,"Actual",24684,695,1190,0.117552373287361,4805,449,NA,0.0228828047984837
2021-02-01,"Actual",25144,460,1235.85714285714,0.119743026816457,5216,411,NA,0.0248401061038275
2021-02-02,"Actual",26834,1690,1174.14285714286,0.127791297390741,5848,632,475.428571428571,0.027849873561193
2021-02-03,"At Current Pace",28008.1428571429,NA,1174.14285714286,0.133382906507398,6323.42857142857,NA,475.428571428571,0.0301140024260467
2021-02-04,"At Current Pace",29182.2857142857,NA,1174.14285714286,0.138974515624054,6798.85714285714,NA,475.428571428571,0.0323781312909004
2021-02-05,"At Current Pace",30356.4285714286,NA,1174.14285714286,0.14456612474071,7274.28571428571,NA,475.428571428571,0.0346422601557541
2021-02-06,"At Current Pace",31530.5714285714,NA,1174.14285714286,0.150157733857367,7749.71428571429,NA,475.428571428571,0.0369063890206078
2021-02-07,"At Current Pace",32704.7142857143,NA,1174.14285714286,0.155749342974023,8225.14285714286,NA,475.428571428571,0.0391705178854615
2021-02-08,"At Current Pace",33878.8571428572,NA,1174.14285714286,0.16134095209068,8700.57142857143,NA,475.428571428571,0.0414346467503152
2021-02-09,"At Current Pace",35053,NA,1174.14285714286,0.166932561207336,9176,NA,475.428571428571,0.0436987756151688
2021-02-10,"At Current Pace",36227.1428571429,NA,1174.14285714286,0.172524170323992,9651.42857142857,NA,475.428571428571,0.0459629044800225
2021-02-11,"At Current Pace",37401.2857142857,NA,1174.14285714286,0.178115779440649,10126.8571428571,NA,475.428571428571,0.0482270333448762
2021-02-12,"At Current Pace",38575.4285714286,NA,1174.14285714286,0.183707388557305,10602.2857142857,NA,475.428571428571,0.0504911622097299
2021-02-13,"At Current Pace",39749.5714285714,NA,1174.14285714286,0.189298997673961,11077.7142857143,NA,475.428571428571,0.0527552910745836
2021-02-14,"At Current Pace",40923.7142857143,NA,1174.14285714286,0.194890606790618,11553.1428571429,NA,475.428571428571,0.0550194199394373
2021-02-15,"At Current Pace",42097.8571428571,NA,1174.14285714286,0.200482215907274,12028.5714285714,NA,475.428571428571,0.0572835488042909
2021-02-16,"At Current Pace",43272,NA,1174.14285714286,0.20607382502393,12504,NA,475.428571428571,0.0595476776691446
2021-02-17,"At Current Pace",44446.1428571428,NA,1174.14285714286,0.211665434140587,12979.4285714286,NA,475.428571428571,0.0618118065339983
2021-02-18,"At Current Pace",45620.2857142857,NA,1174.14285714286,0.217257043257243,13454.8571428571,NA,475.428571428571,0.064075935398852
2021-02-19,"At Current Pace",46794.4285714286,NA,1174.14285714286,0.2228486523739,13930.2857142857,NA,475.428571428571,0.0663400642637057
2021-02-20,"At Current Pace",47968.5714285714,NA,1174.14285714286,0.228440261490556,14405.7142857143,NA,475.428571428571,0.0686041931285593
2021-02-21,"At Current Pace",49142.7142857143,NA,1174.14285714286,0.234031870607212,14881.1428571428,NA,475.428571428571,0.070868321993413
2021-02-22,"At Current Pace",50316.8571428571,NA,1174.14285714286,0.239623479723869,15356.5714285714,NA,475.428571428571,0.0731324508582667
2021-02-23,"At Current Pace",51491,NA,1174.14285714286,0.245215088840525,15832,NA,475.428571428571,0.0753965797231204
2021-02-24,"At Current Pace",52665.1428571428,NA,1174.14285714286,0.250806697957181,16307.4285714286,NA,475.428571428571,0.0776607085879741
2021-02-25,"At Current Pace",53839.2857142857,NA,1174.14285714286,0.256398307073838,16782.8571428571,NA,475.428571428571,0.0799248374528278
2021-02-26,"At Current Pace",55013.4285714285,NA,1174.14285714286,0.261989916190494,17258.2857142857,NA,475.428571428571,0.0821889663176814
2021-02-27,"At Current Pace",56187.5714285714,NA,1174.14285714286,0.267581525307151,17733.7142857143,NA,475.428571428571,0.0844530951825351
2021-02-28,"At Current Pace",57361.7142857143,NA,1174.14285714286,0.273173134423807,18209.1428571428,NA,475.428571428571,0.0867172240473888
2021-03-01,"At Current Pace",58535.8571428571,NA,1174.14285714286,0.278764743540463,18684.5714285714,NA,475.428571428571,0.0889813529122425
2021-03-02,"At Current Pace",59710,NA,1174.14285714286,0.28435635265712,19160,NA,475.428571428571,0.0912454817770962
2021-03-03,"At Current Pace",60884.1428571428,NA,1174.14285714286,0.289947961773776,19635.4285714286,NA,475.428571428571,0.0935096106419499
2021-03-04,"At Current Pace",62058.2857142857,NA,1174.14285714286,0.295539570890432,20110.8571428571,NA,475.428571428571,0.0957737395068036
2021-03-05,"At Current Pace",63232.4285714285,NA,1174.14285714286,0.301131180007089,20586.2857142857,NA,475.428571428571,0.0980378683716573
