"CountyName","AdministeredCount","AdministeredCountChange","AdministeredCountRollAvg","PersonsFullyVaccinated","Report_Date","PctVaccinatedPopulation","Date","PersonsDose1","PercentDose1","Dose1Change","Dose2Change"
"Illinois",1,1,0,0,"12/15/2020 12:00:00 AM",0,2020-12-15,1,7.84862821676027e-08,NA,NA
"Illinois",1567,1566,224,0,"12/16/2020 12:00:00 AM",0,2020-12-16,1567,0.000122988004156634,1566,0
"Illinois",11811,10244,1687,0,"12/17/2020 12:00:00 AM",0,2020-12-17,11811,0.000927001478681556,10244,0
"Illinois",32171,20360,4596,11,"12/18/2020 12:00:00 AM",8.6334910384363e-07,2020-12-18,32160,0.0025241188345101,20349,11
"Illinois",44730,12559,6390,11,"12/19/2020 12:00:00 AM",8.6334910384363e-07,2020-12-19,44719,0.00350982805225303,12559,0
"Illinois",51182,6452,7312,11,"12/20/2020 12:00:00 AM",8.6334910384363e-07,2020-12-20,51171,0.0040162215447984,6452,0
"Illinois",63384,12202,9055,28,"12/21/2020 12:00:00 AM",2.19761590069288e-06,2020-12-21,63356,0.00497257689301064,12185,17
"Illinois",72590,9206,10370,28,"12/22/2020 12:00:00 AM",2.19761590069288e-06,2020-12-22,72562,0.00569512160664559,9206,0
"Illinois",82565,9975,11571,28,"12/23/2020 12:00:00 AM",2.19761590069288e-06,2020-12-23,82537,0.00647802227126743,9975,0
"Illinois",87925,5360,10873,28,"12/24/2020 12:00:00 AM",2.19761590069288e-06,2020-12-24,87897,0.00689870874368578,5360,0
"Illinois",89057,1132,8127,28,"12/25/2020 12:00:00 AM",2.19761590069288e-06,2020-12-25,89029,0.0069875552150995,1132,0
"Illinois",90407,1350,6525,28,"12/26/2020 12:00:00 AM",2.19761590069288e-06,2020-12-26,90379,0.00709351169602577,1350,0
"Illinois",91411,1004,5747,28,"12/27/2020 12:00:00 AM",2.19761590069288e-06,2020-12-27,91383,0.00717231192332204,1004,0
"Illinois",97119,5708,4819,28,"12/28/2020 12:00:00 AM",2.19761590069288e-06,2020-12-28,97091,0.00762031162193472,5708,0
"Illinois",114631,17512,6006,28,"12/29/2020 12:00:00 AM",2.19761590069288e-06,2020-12-29,114603,0.00899476339525378,17512,0
"Illinois",134164,19533,7371,28,"12/30/2020 12:00:00 AM",2.19761590069288e-06,2020-12-30,134136,0.0105278359448336,19533,0
"Illinois",147929,13765,8572,28,"12/31/2020 12:00:00 AM",2.19761590069288e-06,2020-12-31,147901,0.0116081996188706,13765,0
"Illinois",153238,5309,9169,28,"1/1/2021 12:00:00 AM",2.19761590069288e-06,2021-01-01,153210,0.0120248832908984,5309,0
"Illinois",156793,3555,9484,28,"1/2/2021 12:00:00 AM",2.19761590069288e-06,2021-01-02,156765,0.0123039020240042,3555,0
"Illinois",159088,2295,9668,28,"1/3/2021 12:00:00 AM",2.19761590069288e-06,2021-01-03,159060,0.0124840280415789,2295,0
"Illinois",171835,12747,10674,146,"1/4/2021 12:00:00 AM",1.145899719647e-05,2021-01-04,171689,0.0134752312990735,12629,118
"Illinois",194897,23062,11467,446,"1/5/2021 12:00:00 AM",3.50048818467508e-05,2021-01-05,194451,0.0152617360537725,22762,300
"Illinois",215471,20574,11615,2888,"1/6/2021 12:00:00 AM",0.000226668382900037,2021-01-06,212583,0.0166848493220355,18132,2442
"Illinois",245471,30000,13935,20934,"1/7/2021 12:00:00 AM",0.0016430318308966,2021-01-07,224537,0.017623074339067,11954,18046
"Illinois",287477,42006,19177,42766,"1/8/2021 12:00:00 AM",0.0033565443431797,2021-01-08,244711,0.0192064565955162,20174,21832
"Illinois",310451,22974,21951,54743,"1/9/2021 12:00:00 AM",0.00429657454470108,2021-01-09,255708,0.0200695702405134,10997,11977
"Illinois",326189,15738,23872,62026,"1/10/2021 12:00:00 AM",0.00486819013772773,2021-01-10,264163,0.0207331717562404,8455,7283
"Illinois",344498,18309,24666,73359,"1/11/2021 12:00:00 AM",0.00575767517353317,2021-01-11,271139,0.0212806920606416,6976,11333
"Illinois",374561,30063,25666,83846,"1/12/2021 12:00:00 AM",0.00658076081462482,2021-01-12,290715,0.0228171395203546,19576,10487
"Illinois",405903,31342,27205,92602,"1/13/2021 12:00:00 AM",0.00726798670128435,2021-01-13,313301,0.0245898306893921,22586,8756
"Illinois",440367,34464,27842,102396,"1/14/2021 12:00:00 AM",0.00803668134883385,2021-01-14,337971,0.0265260872704669,24670,9794
"Illinois",465410,25043,25419,104451,"1/15/2021 12:00:00 AM",0.00819797065868827,2021-01-15,360959,0.0283303299249357,22988,2055
"Illinois",482100,16690,24521,105669,"1/16/2021 12:00:00 AM",0.00829356695036841,2021-01-16,376431,0.0295446696826329,15472,1218
"Illinois",491099,8999,23559,106266,"1/17/2021 12:00:00 AM",0.00834042326082247,2021-01-17,384833,0.0302041114254051,8402,597
"Illinois",504495,13396,22857,109243,"1/18/2021 12:00:00 AM",0.00857407692283543,2021-01-18,395252,0.0310218599993093,10419,2977
"Illinois",534214,29719,22808,113655,"1/19/2021 12:00:00 AM",0.00892035839975889,2021-01-19,420559,0.0330081123421248,25307,4412
"Illinois",569481,35267,23368,122335,"1/20/2021 12:00:00 AM",0.00960161932897368,2021-01-20,447146,0.0350948271261149,26587,8680
"Illinois",614831,45350,24923,130974,"1/21/2021 12:00:00 AM",0.0102796623206196,2021-01-21,483857,0.0379761370307698,36711,8639
"Illinois",657200,42369,27399,137138,"1/22/2021 12:00:00 AM",0.0107634517639007,2021-01-22,520062,0.0408177328766478,36205,6164
"Illinois",680015,22815,28274,139335,"1/23/2021 12:00:00 AM",0.0109358861258229,2021-01-23,540680,0.0424359630423795,20618,2197
"Illinois",694385,14370,29041,142382,"1/24/2021 12:00:00 AM",0.0111750338275876,2021-01-24,552003,0.0433246632153632,11323,3047
"Illinois",721546,27161,31007,150330,"1/25/2021 12:00:00 AM",0.0117988427982557,2021-01-25,571216,0.0448326201546494,19213,7948
"Illinois",775981,54435,34538,164747,"1/26/2021 12:00:00 AM",0.012930379528266,2021-01-26,611234,0.0479734841944325,40018,14417
"Illinois",833756,57775,37754,183882,"1/27/2021 12:00:00 AM",0.0144322145375431,2021-01-27,649874,0.0510061941373887,38640,19135
"Illinois",894771,61015,39991,200097,"1/28/2021 12:00:00 AM",0.0157048696028908,2021-01-28,694674,0.0545223795784973,44800,16215
"Illinois",954567,59796,42481,214217,"1/29/2021 12:00:00 AM",0.0168130959070974,2021-01-29,740350,0.0581073190027847,45676,14120
"Illinois",995979,41412,45138,221768,"1/30/2021 12:00:00 AM",0.0174057458237449,2021-01-30,774211,0.0607649430032619,33861,7551
"Illinois",1013542,17563,45594,225965,"1/31/2021 12:00:00 AM",0.0177351527500024,2021-01-31,787577,0.0618139906507141,13366,4197
"Illinois",1047914,34372,46624,234098,"2/1/2021 12:00:00 AM",0.0183734816828715,2021-02-01,813816,0.0638733922085098,26239,8133
"Illinois",1116093,68179,48587,251639,"2/2/2021 12:00:00 AM",0.0197502095583734,2021-02-02,864454,0.0678477805649129,50638,17541
"Illinois",1182529,66436,49825,264519,"2/3/2021 12:00:00 AM",0.0207611128726921,2021-02-03,918010,0.072051191892681,53556,12880
"Illinois",1262289,79760,52503,280760,"2/4/2021 12:00:00 AM",0.0220358085813761,2021-02-04,981529,0.077036562049685,63519,16241
"Illinois",1331457,69168,53841,293986,"2/5/2021 12:00:00 AM",0.0230738681493249,2021-02-05,1037471,0.081427241646705,55942,13226
"Illinois",1386342,54885,55766,305662,"2/6/2021 12:00:00 AM",0.0239902739799138,2021-02-06,1080680,0.0848185554128849,43209,11676
"Illinois",1406070,19728,56075,309636,"2/7/2021 12:00:00 AM",0.0243021784652478,2021-02-07,1096434,0.0860550283021533,15754,3974
"Illinois",1466780,60710,59838,322381,"2/8/2021 12:00:00 AM",0.0253024861314739,2021-02-08,1144399,0.0898196228263224,47965,12745
"Illinois",1529222,62442,59018,338462,"2/9/2021 12:00:00 AM",0.0265646240350112,2021-02-09,1190760,0.0934583253538946,46361,16081
"Illinois",1597728,68506,59314,358073,"2/10/2021 12:00:00 AM",0.0281038185146,2021-02-10,1239655,0.0972959121204796,48895,19611
"Illinois",1692562,94834,61468,386420,"2/11/2021 12:00:00 AM",0.0303286691552051,2021-02-11,1306142,0.102514229562957,66487,28347
"Illinois",1771314,78752,62837,411284,"2/12/2021 12:00:00 AM",0.0322801520750203,2021-02-12,1360030,0.106743698336405,53888,24864
"Illinois",1829531,58217,63313,426489,"2/13/2021 12:00:00 AM",0.0334735359953787,2021-02-13,1403042,0.110119550304998,43012,15205
"Illinois",1868987,39456,66131,434642,"2/14/2021 12:00:00 AM",0.0341134346538912,2021-02-14,1434345,0.11257640639569,31303,8153
"Illinois",1909041,40054,63180,442907,"2/15/2021 12:00:00 AM",0.0347621237760064,2021-02-15,1466134,0.115071406819516,31789,8265
"Illinois",1948702,39661,59926,458566,"2/16/2021 12:00:00 AM",0.0359911404684689,2021-02-16,1490136,0.116955234564103,24002,15659
"Illinois",2020916,72214,60455,485334,"2/17/2021 12:00:00 AM",0.0380920612695313,2021-02-17,1535582,0.120522122143492,45446,26768
"Illinois",2103689,82773,58732,521012,"2/18/2021 12:00:00 AM",0.040892294844707,2021-02-18,1582677,0.124218433602175,47095,35678
"Illinois",2180912,77223,58514,554417,"2/19/2021 12:00:00 AM",0.0435141291005158,2021-02-19,1626495,0.127657545514195,43818,33405
"Illinois",2194176,13264,52092,560490,"2/20/2021 12:00:00 AM",0.0439907762921197,2021-02-20,1633686,0.128221940369262,7191,6073
"Illinois",2253631,59455,54949,585149,"2/21/2021 12:00:00 AM",0.0459261695240906,2021-02-21,1668482,0.130952949043566,34796,24659
"Illinois",2296630,42999,55370,604933,"2/22/2021 12:00:00 AM",0.0474789421304944,2021-02-22,1691697,0.132775008084087,23215,19784
"Illinois",2352009,55379,57615,633824,"2/23/2021 12:00:00 AM",0.0497464893085986,2021-02-23,1718185,0.134853952726143,26488,28891
"Illinois",2481230,129221,65759,687419,"2/24/2021 12:00:00 AM",0.0539529616013713,2021-02-24,1793811,0.14078955630135,75626,53595
"Illinois",2582669,101439,68426,741858,"2/25/2021 12:00:00 AM",0.0582256763162934,2021-02-25,1840811,0.144478411563227,47000,54439
"Illinois",2667829,85160,69560,790683,"2/26/2021 12:00:00 AM",0.0620577690431266,2021-02-26,1877146,0.147330210625787,36335,48825
"Illinois",2746714,78885,78934,833947,"2/27/2021 12:00:00 AM",0.0654533995548258,2021-02-27,1912767,0.150125970482879,35621,43264
"Illinois",2797455,50741,77689,855955,"2/28/2021 12:00:00 AM",0.0671807256527704,2021-02-28,1941500,0.152381116828401,28733,22008
"Illinois",2858123,60668,80213,886956,"3/1/2021 12:00:00 AM",0.0696138788862483,2021-03-01,1971167,0.154709569361467,29667,31001
"Illinois",2940055,81932,84007,927708,"3/2/2021 12:00:00 AM",0.0728123518571424,2021-03-02,2012347,0.157941634461129,41180,40752
"Illinois",3032818,92763,78798,974082,"3/3/2021 12:00:00 AM",0.0764520747063828,2021-03-03,2058736,0.161582534604602,46389,46374
"Illinois",3164325,131507,83094,1042052,"3/4/2021 12:00:00 AM",0.0817867873053148,2021-03-04,2122273,0.166569317514685,63537,67970
"Illinois",3298048,133723,90031,1108447,"3/5/2021 12:00:00 AM",0.0869978840098328,2021-03-05,2189601,0.171853641920465,67328,66395
"Illinois",3395967,97919,92750,1159778,"3/6/2021 12:00:00 AM",0.091026663359778,2021-03-06,2236189,0.175510160834089,46588,51331
"Illinois",3425171,29204,89674,1175688,"3/7/2021 12:00:00 AM",0.0922753801090645,2021-03-07,2249483,0.176553557469226,13294,15910
"Illinois",3500227,75056,91729,1218096,"3/8/2021 12:00:00 AM",0.0956038263632282,2021-03-08,2282131,0.179115977609433,32648,42408
"Illinois",3604829,104602,94968,1272159,"3/9/2021 12:00:00 AM",0.0998470302360553,2021-03-09,2332670,0.183082595823902,50539,54063
"Illinois",3717518,112689,97814,1331127,"3/10/2021 12:00:00 AM",0.104475209322915,2021-03-10,2386391,0.187298957388228,53721,58968
"Illinois",3827880,110362,94794,1395053,"3/11/2021 12:00:00 AM",0.109492523396761,2021-03-11,2432827,0.190943546386962,46436,63926
"Illinois",3980268,152388,97460,1468280,"3/12/2021 12:00:00 AM",0.115239838381048,2021-03-12,2511988,0.197156598969632,79161,73227
"Illinois",4076389,96121,97203,1514572,"3/13/2021 12:00:00 AM",0.11887312535515,2021-03-13,2561817,0.201067491923762,49829,46292
"Illinois",4154927,78538,104251,1561280,"3/14/2021 12:00:00 AM",0.122539062622635,2021-03-14,2593647,0.203565710285156,31830,46708
"Illinois",4241693,86766,105924,1603134,"3/15/2021 12:00:00 AM",0.125824027476478,2021-03-15,2638559,0.207090686189868,44912,41854
"Illinois",4352603,110910,106825,1649555,"3/16/2021 12:00:00 AM",0.12946743918098,2021-03-16,2703048,0.212152188040574,64489,46421
"Illinois",4446682,94079,104166,1690627,"3/17/2021 12:00:00 AM",0.132691027762168,2021-03-17,2756055,0.216312510399432,53007,41072
"Illinois",4585475,138793,108228,1737590,"3/18/2021 12:00:00 AM",0.136376979031605,2021-03-18,2847885,0.223519905690883,91830,46963
"Illinois",4718657,133182,105484,1784844,"3/19/2021 12:00:00 AM",0.140085769809153,2021-03-19,2933813,0.230264074944981,85928,47254
"Illinois",4806856,88199,104352,1815828,"3/20/2021 12:00:00 AM",0.142517588775834,2021-03-20,2991028,0.234754667579201,57215,30984
"Illinois",4851228,44372,99472,1832799,"3/21/2021 12:00:00 AM",0.1438495794705,2021-03-21,3018429,0.236905270196875,27401,16971
"Illinois",4929145,77917,98207,1859213,"3/22/2021 12:00:00 AM",0.145922716127675,2021-03-22,3069932,0.240947549187353,51503,26414
"Illinois",5036364,107219,97680,1890722,"3/23/2021 12:00:00 AM",0.148395740392494,2021-03-23,3145642,0.246889745610262,75710,31509
"Illinois",5154908,118544,101175,1921995,"3/24/2021 12:00:00 AM",0.150850241894722,2021-03-24,3232913,0.253739321941311,87271,31273
"Illinois",5281618,126710,99449,1963630,"3/25/2021 12:00:00 AM",0.15411801825277,2021-03-25,3317988,0.26041654239672,85075,41635
"Illinois",5418211,136593,99936,2016639,"3/26/2021 12:00:00 AM",0.158278497584192,2021-03-26,3401572,0.266976739805417,83584,53009
"Illinois",5528422,110211,103081,2063530,"3/27/2021 12:00:00 AM",0.161958797841313,2021-03-27,3464892,0.271946491192269,63320,46891
"Illinois",5577614,49192,103769,2081988,"3/28/2021 12:00:00 AM",0.163407497637563,2021-03-28,3495626,0.274358688588409,30734,18458
"Illinois",5664426,86812,105040,2110089,"3/29/2021 12:00:00 AM",0.165613040652755,2021-03-29,3554337,0.278966696700751,58711,28101
"Illinois",5801871,137445,109358,2161302,"3/30/2021 12:00:00 AM",0.169632558621404,2021-03-30,3640569,0.285734725784627,86232,51213
"Illinois",5918422,116551,109073,2204598,"3/31/2021 12:00:00 AM",0.173030700694133,2021-03-31,3713824,0.291484238384815,73255,43296
"Illinois",6043292,124870,108811,2262076,"4/1/2021 12:00:00 AM",0.177541935220562,2021-04-01,3781216,0.296773585912654,67392,57478
"Illinois",6188607,145315,110057,2322073,"4/2/2021 12:00:00 AM",0.182250876691772,2021-04-02,3866534,0.30346987853463,85318,59997
"Illinois",6290822,102215,108914,2368041,"4/3/2021 12:00:00 AM",0.185858734110452,2021-04-03,3922781,0.307884496447711,56247,45968
"Illinois",6318070,27248,105779,2380733,"4/4/2021 12:00:00 AM",0.186854882003723,2021-04-04,3937337,0.309026942770943,14556,12692
"Illinois",6413258,95188,106976,2424674,"4/5/2021 12:00:00 AM",0.19030364772845,2021-04-05,3988584,0.313049129273186,51247,43941
"Illinois",6552982,139724,107302,2494651,"4/6/2021 12:00:00 AM",0.195795882295692,2021-04-06,4058331,0.318523311995529,69747,69977
"Illinois",6707183,154201,112680,2571654,"4/7/2021 12:00:00 AM",0.201839561481444,2021-04-07,4135529,0.324582296006304,77198,77003
"Illinois",6871645,164462,118336,2665722,"4/8/2021 12:00:00 AM",0.209222609072386,2021-04-08,4205923,0.33010725935321,70394,94068
"Illinois",7047326,175681,122674,2777567,"4/9/2021 12:00:00 AM",0.218000907301422,2021-04-09,4269759,0.335117509661661,63836,111845
"Illinois",7178611,131285,126827,2853730,"4/10/2021 12:00:00 AM",0.223978658010153,2021-04-10,4324881,0.339443830507304,55122,76163
"Illinois",7243383,64772,132188,2890492,"4/11/2021 12:00:00 AM",0.226863970715198,2021-04-11,4352891,0.341642231270818,28010,36762
"Illinois",7344112,100729,132979,2952843,"4/12/2021 12:00:00 AM",0.231757668894631,2021-04-12,4391269,0.344654377807847,38378,62351
"Illinois",7482650,138538,132810,3028415,"4/13/2021 12:00:00 AM",0.237689034210601,2021-04-13,4454235,0.349596345050812,62966,75572
"Illinois",7612405,129755,129317,3093820,"4/14/2021 12:00:00 AM",0.242822429495773,2021-04-14,4518585,0.354646937308297,64350,65405
"Illinois",7779290,166885,129664,3182010,"4/15/2021 12:00:00 AM",0.249744134720134,2021-04-15,4597280,0.360823415283477,78695,88190
"Illinois",7939304,160014,127425,3269153,"4/16/2021 12:00:00 AM",0.256583664807065,2021-04-16,4670151,0.366542789151312,72871,87143
"Illinois",8054634,115330,125146,3330480,"4/17/2021 12:00:00 AM",0.261396993033558,2021-04-17,4724154,0.370781283847209,54003,61327
"Illinois",8119867,65233,125212,3365282,"4/18/2021 12:00:00 AM",0.264128472625555,2021-04-18,4754585,0.373169699899851,30431,34802
"Illinois",8201830,81963,122531,3416113,"4/19/2021 12:00:00 AM",0.268118008834416,2021-04-19,4785717,0.375613134836293,31132,50831
"Illinois",8342542,140712,122842,3498473,"4/20/2021 12:00:00 AM",0.27458213903374,2021-04-20,4844069,0.380192966373337,58352,82360
"Illinois",8473953,131411,123078,3572205,"4/21/2021 12:00:00 AM",0.280369089590521,2021-04-21,4901748,0.384719976642482,57679,73732
